순번,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,분기,일반상영관 가격
"5,146 ",변태커플 스와핑,나카메구로 코우지,(주)플라이어,2016-06-03,일본,1 ,8000,1 ,0,0 ,드라마,청소년관람불가,,
"5,147 ",병원 화장실에서,하세가와 쿠니히로,(주)도키엔터테인먼트,2016-01-20,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,148 ",보리의 은밀한 사생활,제임스 리,스마일컨텐츠,2015-09-10,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,149 ",보복의 길,아소 마사히로,(주)영진크리에이티브,2017-05-24,일본,1 ,5000,1 ,0,0 ,액션,청소년관람불가,,
"5,150 ",보이카: 언디스퓨티드 파이널,토도 채프카노브,(주)케이알씨지,2017-09-29,불가리아,1 ,2000,1 ,0,0 ,액션,청소년관람불가,,
"5,151 ",복숭아 엉덩이 여인,타지리 유지,(주)도키엔터테인먼트,2016-08-10,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,152 ",복숭아골 유부녀,슈우키,(주)도키엔터테인먼트,2016-05-18,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,153 ",복종의 메이드 - 무한 쾌락,이시카와 히토시,(주)도키엔터테인먼트,2016-06-02,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,154 ",볼케이노 2017,제임스 콘델릭,(주)케이알씨지,2017-09-25,미국,1 ,3000,1 ,0,0 ,SF,15세이상관람가,,
"5,155 ",봉긋선 새엄마,나카메구로 코우지,(주)플라이어,2017-10-20,일본,1 ,6000,1 ,0,0 ,드라마,청소년관람불가,,
"5,156 ",부부 교환의 날 2017,이진,(주)소나무픽쳐스,2017-08-21,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,157 ",부부교환: 서로의 아내를 탐하다,스즈키 마사하루,(주)소나무픽쳐스,2017-03-15,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,158 ",부부교환: 서로의 아내를 탐하다 (무삭제),스즈키 마사하루,(주)소나무픽쳐스,2017-06-19,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,159 ",부부교환섹스 2,강정훈,(주)소나무픽쳐스,2017-12-08,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,160 ",부부교환섹스 2017,오우카 하야토,(주)소나무픽쳐스,2017-05-08,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,161 ",부부교환섹스 2017 (무삭제),오우카 하야토,(주)소나무픽쳐스,2017-08-07,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,162 ",부부교환의 날 2017: 친구의 아내를 탐하다,강정훈,(주)소나무픽쳐스,2017-11-09,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,163 ",부부교환의 날: 직장 상사 부부의 초대,스즈키 마사하루,(주)소나무픽쳐스,2017-04-13,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,164 ",부부교환의 날: 직장 상사 부부의 초대 (무삭제),스즈키 마사하루,(주)소나무픽쳐스,2017-07-27,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,165 ",부인을 탐내는 능욕자들,테이 쟈가,(주)도키엔터테인먼트,2016-08-10,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,166 ",부정한 아내들,나가에 타카미,(주)영진크리에이티브,2017-03-03,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,167 ",북 오브 파이어,,(주)컴퍼니엘,2017-04-27,미국,1 ,3000,1 ,0,0 ,액션,청소년관람불가,,
"5,168 ",분노의 건샷,힐러리안 뱅크스,(주)케이알씨지,2016-12-14,미국,1 ,4000,1 ,0,0 ,범죄,15세이상관람가,,
"5,169 ",분노의 레이싱 질주,콜 S. 맥케이,스크린조이,2016-01-21,미국,1 ,4000,1 ,0,0 ,액션,15세이상관람가,,
"5,170 ",분노의 위치 헌터,스와미 M. 칸단,(주)케이알씨지,2017-04-11,미국,1 ,3000,1 ,0,0 ,스릴러,15세이상관람가,,
"5,171 ",불끈쥐는 정사,이즈미 유스이,(주)도키엔터테인먼트,2017-12-01,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,172 ",불량 경찰2 : 부정부패 소탕 작전,산티아고 세구라,(주)소나무픽쳐스,2015-02-12,스페인,1 ,8000,1 ,8000,1 ,액션,청소년관람불가,,
"5,173 ",불량선생,코미나미 토시야,(주)영진크리에이티브,2016-10-25,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,174 ",불량소녀와 모텔도전,다케다 히데오,(주)도키엔터테인먼트,2017-02-01,일본,1 ,8000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,175 ",불륜 고백 무삭제판,조조 히데오,조이앤키노,2015-07-02,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,176 ",불륜 동창회,오타니 야스유키,(주)소나무픽쳐스,2015-08-13,일본,1 ,5000,1 ,5000,1 ,멜로/로맨스,청소년관람불가,,
"5,177 ",불륜 발각 - 아내의 여행,야마우치 다이스케,(주)도키엔터테인먼트,2016-01-27,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,178 ",불륜 와이프와 맛있는 처녀,짓소지 아키오,(주)영진크리에이티브,2015-12-26,일본,1 ,9000,1 ,9000,1 ,멜로/로맨스,청소년관람불가,,
"5,179 ",불륜:굶주린 아내,토미 타로,(주)영진크리에이티브,2017-09-08,일본,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,180 ",불륜: 오피스와이프,오데라 슌고,(주)영진크리에이티브,2016-09-21,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,181 ",불륜가족 무삭제,,(주)영화사 사계절,2017-10-17,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,182 ",불륜녀의 정욕,테이 쟈가,(주)도키엔터테인먼트,2016-11-17,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,183 ",불륜녀의 황홀한 입맞춤,와타나베 모토츠구,(주)도키엔터테인먼트,2017-01-02,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,184 ",불륜사고-쌍방책임,나리타 유스케,(주)도키엔터테인먼트,2016-08-17,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,185 ",불륜수업-나쁜놀이,마츠히사 유메지,(주)도키엔터테인먼트,2016-01-20,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,186 ",불륜여행 - 몸을 포개며,우메하라 노리카츠,(주)도키엔터테인먼트,2015-08-05,일본,1 ,5000,1 ,5000,1 ,멜로/로맨스,청소년관람불가,,
"5,187 ",불륜여행:온천의 뜨거운 밤,모리 히데토라,(주)영진크리에이티브,2017-07-07,일본,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,188 ",불륜의 오피스걸-유이,카이바라 크리스,(주)도키엔터테인먼트,2015-08-12,일본,1 ,5000,1 ,5000,1 ,멜로/로맨스,청소년관람불가,,
"5,189 ",불륜의 와이프-확인실화,사카모토 후토시,(주)도키엔터테인먼트,2016-02-03,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,190 ",불륜의 유부녀,스기야마 타로,(주)도키엔터테인먼트,2016-08-10,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,191 ",불륜의 유혹,이민,(주)케이알씨지,2017-06-27,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,,
"5,192 ",불륜의 육체봉사,테이 쟈가,(주)도키엔터테인먼트,2016-11-03,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,193 ",불륜의 후예 무삭제판,이상수,(주)제이에이와이이엔터테인먼트,2017-02-09,한국,1 ,3000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,194 ",불륜정사-뒷조사,이마오카 신지,(주)도키엔터테인먼트,2016-04-13,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,195 ",불륜조사보고서-실황,세키네 카즈미,(주)도키엔터테인먼트,2016-09-13,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,196 ",불륜처 - 머리를 올려라,쿠니자와 호시미,(주)도키엔터테인먼트,2016-02-10,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
